date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2022-03-17,1.6182909116063e7,885424,true,16724,true,126
2022-03-18,1.54219643599082e7,435500,true,17303,true,127
2022-03-19,NaN,,false,16543,true,128
2022-03-20,1.6521107e7,4400,true,17509,true,129
2022-03-21,8.87755964579465e6,2531300,true,18347,true,130
2022-03-22,1.3444953954886e7,1334485,true,16968,true,131
2022-03-23,1.03340747250794e7,3785067,true,15867,true,132
2022-03-24,1.63466817730071e7,954519,true,15586,true,133
2022-03-25,1.3908169938654e7,438366,true,15724,true,134
2022-03-26,NaN,,false,14680,true,135
2022-03-27,7.178083e6,240000,true,15156,true,136
2022-03-28,8.13247512491614e6,2526479,true,15060,true,137
2022-03-29,1.75188880457102e7,1463876,true,13455,true,138
2022-03-30,1.36574359083571e7,3702970,true,13140,true,139
2022-03-31,2.03358791216199e7,740701,true,13257,true,140
2022-04-01,1.84891457029323e7,451594,true,12945,true,141
2022-04-02,NaN,,false,12161,true,142
2022-04-03,NaN,,false,12406,true,143
2022-04-04,6.58354999392043e6,2779800,true,12438,true,144
2022-04-05,9.55848649206976e6,1387537,true,10672,true,145
2022-04-06,7.80269123525012e6,3715471,true,10076,true,146
2022-04-07,1.29797112665876e7,789579,true,9816,true,147
2022-04-08,1.17584579086792e7,477000,true,9516,true,148
2022-04-09,NaN,,false,9327,true,149
2022-04-10,NaN,,false,9282,true,150
2022-04-11,4.26617576078085e6,2776450,true,9813,true,151
2022-04-12,8.70882072879409e6,1352017,true,8071,true,152
2022-04-13,7.2427384647421e6,3917859,true,8325,true,153
2022-04-14,8.94859902389318e6,142300,true,7724,true,154
2022-04-15,NaN,,false,6438,true,155
2022-04-16,NaN,,false,8256,true,156
2022-04-17,NaN,,false,7645,true,157
2022-04-18,4.91459564498689e6,2478500,true,7395,true,158
2022-04-19,NaN,1179717,false,9578,true,159
2022-04-20,5.30263530576054e6,4154035,true,8933,true,160
2022-04-21,9.81546227444172e6,903660,true,9309,true,161
2022-04-22,1.37389103648729e7,415394,true,8915,true,162
2022-04-23,NaN,,false,7905,true,163
2022-04-24,NaN,,false,6987,true,164
2022-04-25,4.02934432895841e6,1310500,true,5714,true,165
2022-04-26,9.0407955717127e6,1413829,true,8454,true,166
2022-04-27,1.02444016744427e7,3662427,true,7938,true,167
2022-04-28,1.11284309260113e7,1063460,true,8229,true,168
2022-04-29,1.20656233186498e7,407394,true,7993,true,169
2022-04-30,NaN,,false,8004,true,170
2022-05-01,4.595512e6,240000,true,8221,true,171
2022-05-02,6.60836056341295e6,2490816,true,8161,true,172
2022-05-03,7.15507786162234e6,1258021,true,7415,true,173
2022-05-04,6.94882621808479e6,1046139,true,7608,true,174
2022-05-05,1.08646306870761e7,1270181,true,7391,true,175
2022-05-06,1.59871976616256e7,392110,true,7669,true,176
2022-05-07,NaN,,false,7981,true,177
2022-05-08,NaN,,false,7915,true,178
2022-05-09,1.33033975253466e7,2682909,true,8263,true,179
2022-05-10,1.22291497451883e7,1406317,true,6906,true,180
2022-05-11,1.32620351740255e7,2359177,true,8261,true,181
2022-05-12,1.38053264105086e7,983704,true,7460,true,182
2022-05-13,1.03270831423034e7,410194,true,8001,true,183
2022-05-14,NaN,,false,8122,true,184
2022-05-15,9.941707e6,240000,true,8728,true,185
2022-05-16,9.85468204773616e6,2469679,true,8829,true,186
2022-05-17,1.00353502948176e7,1138151,true,8232,true,187
