mean,median,lower,upper,t,date,variable,predictive_lower,predictive_upper
1.0,1.0,1.0,1.0,3,2022-06-03,Cases,0.0,3.0
1.0,1.0,1.0,1.0,4,2022-06-04,Cases,0.0,3.0
1.0,1.0,1.0,1.0,5,2022-06-05,Cases,0.0,3.0
1.0,1.0,1.0,1.0,6,2022-06-06,Cases,0.0,3.0
1.0,1.0,1.0,1.0,7,2022-06-07,Cases,0.0,3.0
1.0,1.0,1.0,1.0,8,2022-06-08,Cases,0.0,3.0
1.0,1.0,1.0,1.0,9,2022-06-09,Cases,0.0,3.0
1.0,1.0,1.0,1.0,10,2022-06-10,Cases,0.0,3.0
1.0,1.0,1.0,1.0,11,2022-06-11,Cases,0.0,3.0
1.0,1.0,1.0,1.0,12,2022-06-12,Cases,0.0,3.0
1.0,1.0,1.0,1.0,13,2022-06-13,Cases,0.0,3.0
1.0,1.0,1.0,1.0,14,2022-06-14,Cases,0.0,3.0
1.0,1.0,1.0,1.0,15,2022-06-15,Cases,0.0,3.0
1.0,1.0,1.0,1.0,16,2022-06-16,Cases,0.0,3.0
1.0,1.0,1.0,1.0,17,2022-06-17,Cases,0.0,3.0
1.0,1.0,1.0,1.0,18,2022-06-18,Cases,0.0,3.0
1.0,1.0,1.0,1.0,19,2022-06-19,Cases,0.0,3.0
1.0,1.0,1.0,1.0,20,2022-06-20,Cases,0.0,3.0
1.0,1.0,1.0,1.0,21,2022-06-21,Cases,0.0,3.0
1.0,1.0,1.0,1.0,22,2022-06-22,Cases,0.0,3.0
1.0,1.0,1.0,1.0,23,2022-06-23,Cases,0.0,3.0
1.0,1.0,1.0,1.0,24,2022-06-24,Cases,0.0,3.0
1.0,1.0,1.0,1.0,25,2022-06-25,Cases,0.0,3.0
1.0,1.0,1.0,1.0,26,2022-06-26,Cases,0.0,3.0
1.0,1.0,1.0,1.0,27,2022-06-27,Cases,0.0,3.0
1.0,1.0,1.0,1.0,28,2022-06-28,Cases,0.0,3.0
1.0,1.0,1.0,1.0,29,2022-06-29,Cases,0.0,3.0
1.0,1.0,1.0,1.0,30,2022-06-30,Cases,0.0,3.0
7409.8720292714825,7332.241792591628,4886.403139662465,10366.869824392677,31,2022-07-01,Cases,4825.0,10534.024999999994
7747.339015209578,7652.8613798007245,5231.120442123072,10748.436004490472,32,2022-07-02,Cases,5149.0,10909.0
8147.079136903244,8033.4896302285415,5626.888490928769,11235.966664843321,33,2022-07-03,Cases,5533.975,11416.0
8477.24862558361,8356.845508341232,6200.803607329446,11312.057218483651,34,2022-07-04,Cases,6081.0,11522.0
8940.679431448676,8840.82072625843,6927.982509424028,11417.009766213463,35,2022-07-05,Cases,6751.0,11664.0
9514.52220795674,9479.911144189176,7570.177111872441,11661.035008798495,36,2022-07-06,Cases,7379.0,11973.0
9779.968210708374,9741.288455004764,8021.956455475162,11654.981588818171,37,2022-07-07,Cases,7796.0,11986.049999999988
10103.666124957212,10100.991017833956,8433.550162752425,11749.541941580368,38,2022-07-08,Cases,8175.0,12152.0
10263.463541846017,10296.796423085227,8697.654995913435,11807.092957084198,39,2022-07-09,Cases,8417.0,12189.0
10316.168830544915,10322.041016349585,8794.921856953799,11763.298045809595,40,2022-07-10,Cases,8516.0,12210.0
10247.92058795185,10209.188697292902,8785.336766080245,11741.176653763057,41,2022-07-11,Cases,8481.975,12188.024999999994
10271.227747767445,10260.575519869646,8836.213277541241,11701.160285002092,42,2022-07-12,Cases,8509.0,12182.0
10337.290962890153,10314.054666821245,8906.819407580666,11796.107943862671,43,2022-07-13,Cases,8561.975,12280.0
10283.963343803724,10267.100487554631,8863.028285393397,11697.062612232105,44,2022-07-14,Cases,8505.0,12201.0
10028.740068270406,10016.965243301416,8607.184253949334,11466.477641987793,45,2022-07-15,Cases,8285.0,11938.0
9681.085753190851,9666.02014697967,8249.46915615414,11136.239234954603,46,2022-07-16,Cases,7949.0,11551.0
9433.292075475421,9428.157658039097,8041.153142986365,10873.391202085999,47,2022-07-17,Cases,7754.0,11285.024999999994
9276.392212983088,9265.64368195897,7876.010641406108,10711.449571354415,48,2022-07-18,Cases,7593.0,11103.0
9209.45840160693,9187.786554702372,7858.703962957286,10596.67297147526,49,2022-07-19,Cases,7576.0,11001.0
9139.264872165895,9127.740591345286,7779.303985232035,10506.947590026055,50,2022-07-20,Cases,7503.975,10914.0
8961.802836731964,8958.845426033096,7670.050371577325,10288.56666550578,51,2022-07-21,Cases,7376.975,10693.0
8730.32865868538,8721.980811079342,7481.583246389997,10029.632632692761,52,2022-07-22,Cases,7198.0,10420.0
8518.227678705434,8515.937839336131,7293.154849978993,9758.311909540551,53,2022-07-23,Cases,7033.0,10141.0
8309.950963248919,8296.736297790281,7156.121247925931,9501.687001808816,54,2022-07-24,Cases,6878.0,9871.024999999994
8056.334715856775,8053.248485070626,6914.459860616859,9200.899658853667,55,2022-07-25,Cases,6669.975,9573.0
7802.243129592741,7800.994705649473,6694.5414785140065,8905.003360949864,56,2022-07-26,Cases,6446.0,9260.0
7538.955285055044,7533.646069973667,6493.766325077036,8614.629666845798,57,2022-07-27,Cases,6250.0,8936.024999999994
7335.732751377663,7330.209194802081,6352.064747492875,8335.78238451436,58,2022-07-28,Cases,6123.0,8660.0
6992.605820346264,6987.032908860752,6042.022968474062,7988.896088193083,59,2022-07-29,Cases,5821.0,8281.0
6671.719803668876,6659.634918132166,5784.140309005574,7662.724693291358,60,2022-07-30,Cases,5537.0,7943.0
6396.80217356559,6386.410028765587,5517.434318857995,7330.290994602879,61,2022-07-31,Cases,5307.0,7602.0
